"","master_metadata_album_artist_name","count","hours","percentage"
"1","Nekfeu",8919,544.438050833333,6.49892886809776
"2","Orelsan",3188,172.470492222222,2.32297177166674
"3","PLK",2712,129.516737222222,1.9761290604643
"4","Disiz",2322,132.475209444444,1.69195120884886
"5","Biga*Ranx",2167,99.7911088888889,1.57900872936067
"6","Mac Miller",1790,98.5676827777778,1.30430347279908
"7","Juice WRLD",1638,82.9216583333333,1.19354697678486
"8","Zamdane",1503,69.7530572222222,1.09517772045643
"9","Lomepal",1427,82.7349536111111,1.03979947244932
"10","Sneazzy",1220,66.5639897222222,0.888966612745741
"11","Sopico",1212,64.4278488888889,0.883137323481834
"12","Rilès",1035,51.4206194444444,0.754164298517903
"13","Spider ZED",963,37.2514702777778,0.701700695142745
"14","OBOY",916,42.4995905555556,0.667453620717294
"15","XXXTENTACION",916,30.4880386111111,0.667453620717294
"16","Lorenzo",811,35.8635980555556,0.590944199128521
"17","Damso",802,42.0869408333333,0.584386248706626
"18","Green Montana",696,25.5520763888889,0.507148165959865
"19","Vald",649,35.5536077777778,0.472901091534415
"20","Jaden",645,35.1722786111111,0.469986446902461
"21","Booba",637,29.3013925,0.464157157638555
"22","Népal",610,30.0130625,0.44448330637287
"23","Casseurs Flowters",589,34.4011319444444,0.429181422055116
"24","Stand High Patrol",586,33.9548833333333,0.426995438581151
"25","Pop Smoke",569,26.1125227777778,0.41460819889535
"26","Hamza",560,27.2264805555556,0.408050248473455
"27","Blundetto",519,28.6698908333333,0.378175140995934
"28","Laylow",505,24.0821866666667,0.367973884784098
"29","Bekar",487,20.8925302777778,0.354857983940308
"30","Jok'air",483,30.8766036111111,0.351943339308355
"31","Kekra",479,22.8079494444444,0.349028694676402
"32","Sfera Ebbasta",460,19.1325738888889,0.335184132674624
"33","Maes",459,19.438705,0.334455471516635
"34","Lefa",436,21.0947688888889,0.317696264882904
"35","Fakear",395,23.4477330555556,0.287821157405383
"36","Columbine",377,20.1075619444444,0.274705256561594
"37","Post Malone",375,19.0556391666667,0.273247934245617
"38","Ninho",335,14.2707747222222,0.244101487926085
"39","Caballero & JeanJass",329,16.9253394444444,0.239729520978155
"40","6ix9ine",316,13.9667922222222,0.230256925924307
"41","Alpha Wann",316,14.3985097222222,0.230256925924307
"42","Roméo Elvis",315,16.3918702777778,0.229528264766318
"43","Michel",314,14.5161025,0.22879960360833
"44","French Montana",313,17.0530936111111,0.228070942450342
"45","Niska",311,13.7062519444444,0.226613620134365
"46","Luidji",308,17.7148908333333,0.2244276366604
"47","Bigflo & Oli",305,19.2684330555556,0.222241653186435
"48","Kid Cudi",293,15.1662080555556,0.213497719290575
"49","Tame Impala",291,19.1177633333333,0.212040396974599
"50","Lujipeka",287,11.2237380555556,0.209125752342646
"51","The Chainsmokers",286,15.4234341666667,0.208397091184657
"52","Mister V",284,13.8035072222222,0.206939768868681
"53","Jazzy Bazz",282,15.2382522222222,0.205482446552704
"54","Josman",282,14.4813647222222,0.205482446552704
"55","Caballero",278,9.89438,0.202567801920751
"56","G-Eazy",274,16.6307722222222,0.199653157288798
"57","Wiz Khalifa",272,16.1237694444444,0.198195834972821
"58","S.Pri Noir",270,15.2051294444444,0.196738512656844
"59","Vindu",265,13.2702191666667,0.193095206866903
"60","Georgio",262,16.4030455555556,0.190909223392938
"61","Raimu",262,10.578315,0.190909223392938
"62","Alkpote",258,15.8264980555556,0.187994578760985
"63","An'Om",253,16.9310283333333,0.184351272971043
"64","DJ Snake",251,11.4668486111111,0.182893950655066
"65","Stromae",246,11.8286622222222,0.179250644865125
"66","David Guetta",244,11.0298261111111,0.177793322549148
"67","A2h",243,12.2845325,0.17706466139116
"68","Freeze corleone",243,13.4825441666667,0.17706466139116
"69","Tenno",242,10.3721247222222,0.176336000233172
"70","Leto",238,9.74828361111111,0.173421355601218
"71","6LACK",235,12.5171597222222,0.171235372127253
"72","Oliver Tree",235,10.2972647222222,0.171235372127253
"73","PNL",234,13.7350844444444,0.170506710969265
"74","Russ",234,10.8252830555556,0.170506710969265
"75","Nogymx",233,10.5491697222222,0.169778049811277
"76","A$AP Rocky",230,11.6473655555556,0.167592066337312
"77","Martin Garrix",227,11.2417169444444,0.165406082863347
"78","Metro Boomin",227,12.5053755555556,0.165406082863347
"79","SAINt JHN",225,10.119935,0.16394876054737
"80","Dinos",215,10.2741247222222,0.156662148967487
"81","Dimitri Vegas & Like Mike",210,8.09171944444445,0.153018843177546
"82","KIDS SEE GHOSTS",208,9.53976111111111,0.151561520861569
"83","Sam Feldt",208,9.73690305555555,0.151561520861569
"84","Kaaris",204,9.21047833333333,0.148646876229616
"85","PRIME",202,9.78764527777778,0.147189553913639
"86","SoulChef",202,10.6541897222222,0.147189553913639
"87","Feder",198,12.4140405555556,0.144274909281686
"88","Bakermat",197,9.71816888888889,0.143546248123698
"89","Gringe",197,11.7381038888889,0.143546248123698
"90","Petit Biscuit",197,11.3470275,0.143546248123698
"91","Rim'K",196,9.73073777777778,0.142817586965709
"92","Panda Dub",195,12.5957322222222,0.142088925807721
"93","Morcheeba",190,11.6285325,0.138445620017779
"94","Trippie Redd",190,8.28893055555556,0.138445620017779
"95","Major Lazer",189,8.01995388888889,0.137716958859791
"96","Kungs",188,9.93952388888889,0.136988297701803
"97","Doums",187,8.254905,0.136259636543814
"98","Lil Mosey",187,7.44092,0.136259636543814
"99","R3HAB",184,7.26598416666667,0.134073653069849
"100","Youssoupha",184,11.8641272222222,0.134073653069849
"101","Alpha Blondy",180,11.4454152777778,0.131159008437896
"102","21 Savage",175,9.57213111111111,0.127515702647955
"103","Lil Nas X",175,6.34954083333333,0.127515702647955
"104","Kalash",174,9.09871277777778,0.126787041489966
"105","DTF",173,7.67681,0.126058380331978
"106","Jul",172,5.86959166666667,0.12532971917399
"107","Kygo",172,9.71190805555556,0.12532971917399
"108","Marshmello",172,8.29052777777778,0.12532971917399
"109","Lil Skies",169,8.33804555555556,0.123143735700025
"110","Møme",168,10.4813422222222,0.122415074542036
"111","Quantic",164,10.5277272222222,0.119500429910083
"112","Drake",162,8.76725638888889,0.118043107594107
"113","The Zombies",162,6.30972555555556,0.118043107594107
"114","Guts",161,9.04779888888889,0.117314446436118
"115","Kodak Black",159,8.67573388888889,0.115857124120142
"116","RK",158,6.65872,0.115128462962153
"117","Hako Yamazaki",155,9.67414388888889,0.112942479488188
"118","DA Uzi",153,6.26007555555556,0.111485157172212
"119","Lil Xan",153,7.25677666666667,0.111485157172212
"120","Lost Frequencies",153,7.49314722222222,0.111485157172212
"121","SCH",152,5.94491416666667,0.110756496014223
"122","Deepend",150,6.46745388888889,0.109299173698247
"123","Luv Resval",150,7.58469777777778,0.109299173698247
"124","Zjednoczenie Soundsystem",147,7.72539833333333,0.107113190224282
"125","Black Eyed Peas",146,7.67479055555556,0.106384529066294
"126","Nemir",146,7.02903833333333,0.106384529066294
"127","The Weeknd",146,8.30879555555556,0.106384529066294
"128","Myth Syzer",143,6.92424416666667,0.104198545592329
"129","A Boogie Wit da Hoodie",141,7.05214111111111,0.102741223276352
"130","Django",141,6.0266575,0.102741223276352
"131","KYLE",141,8.28458583333333,0.102741223276352
"132","Trinix",139,7.01461805555556,0.101283900960375
"133","Gorillaz",137,7.48203361111111,0.0998265786443988
"134","Kanye West",137,6.62849555555556,0.0998265786443988
"135","Les Gordon",137,6.65141833333333,0.0998265786443988
"136","Tchami",137,10.4071366666667,0.0998265786443988
"137","Lil Uzi Vert",136,7.11131833333333,0.0990979174864105
"138","Dennis Lloyd",135,5.77813361111111,0.0983692563284222
"139","Naps",135,5.30834222222222,0.0983692563284222
"140","NAV",133,6.98270972222222,0.0969119340124455
"141","Alonzo",130,6.88227166666667,0.0947259505384806
"142","Synapson",130,6.88964388888889,0.0947259505384806
"143","Médine",129,7.41165055555556,0.0939972893804923
"144","Tyler, The Creator",129,6.45610916666667,0.0939972893804923
"145","Jungle",128,6.49552027777778,0.093268628222504
"146","MEDUZA",128,4.86952611111111,0.093268628222504
"147","Travis Scott",127,6.64847277777778,0.0925399670645157
"148","Flavia Coelho",126,6.19898277777778,0.0918113059065273
"149","Dosseh",125,6.22648277777778,0.091082644748539
"150","Eminem",124,8.62821583333333,0.0903539835905507
"151","J. Cole",123,7.85978916666667,0.0896253224325624
"152","GASHI",120,6.62857666666667,0.0874393389585975
"153","Imagine Dragons",120,6.36793805555556,0.0874393389585975
"154","Aminé",119,4.6994075,0.0867106778006092
"155","Lil Pump",119,4.71254638888889,0.0867106778006092
"156","Parcels",119,7.96924972222222,0.0867106778006092
"157","Future",118,6.0572675,0.0859820166426209
"158","Klingande",118,5.8772525,0.0859820166426209
"159","Aim",117,7.67759916666667,0.0852533554846325
"160","Ofenbach",117,5.15678694444444,0.0852533554846325
"161","Hugo TSR",116,5.58505388888889,0.0845246943266442
"162","Jax Jones",115,5.84302194444444,0.0837960331686559
"163","Anderson .Paak",114,6.52207472222222,0.0830673720106676
"164","Hornet La Frappe",114,5.26105833333333,0.0830673720106676
"165","Napkey",114,7.22457416666667,0.0830673720106676
"166","Starmyname",112,1.33103722222222,0.081610049694691
"167","Danakil",111,7.5262525,0.0808813885367027
"168","Don Diablo",111,4.78504361111111,0.0808813885367027
"169","Koba LaD",110,4.87828111111111,0.0801527273787143
"170","Moha La Squale",110,4.20457638888889,0.0801527273787143
"171","Jabberwocky",109,7.07674472222222,0.079424066220726
"172","Childish Gambino",108,7.28410444444444,0.0786954050627377
"173","Yaro",108,5.13380111111111,0.0786954050627377
"174","Calvin Harris",107,5.74935722222222,0.0779667439047494
"175","Lil Tecca",107,3.63577388888889,0.0779667439047494
