"","master_metadata_album_artist_name","month","hours"
"116","1995",2022-05-31,0.0881405555555556
"117","1da Banton",2022-03-31,0.0450791666666667
"118","1gnition",2022-07-31,0.0989586111111111
"119","1kaze1",2022-06-30,0.0558341666666667
"120","1minute2rap",2020-07-31,0
"121","1nonly",2021-12-31,0.0393069444444444
"122","1nonly",2022-08-31,0.0393069444444444
"123","1nonly",2022-09-30,0.0463505555555556
"124","1nonly",2022-10-31,0.38489
"125","1nonly",2023-05-31,0.0393069444444444
"126","2 Be 3",2019-08-31,0.0209519444444444
"127","2 Chainz",2019-01-31,0.221115277777778
"128","2 Chainz",2019-03-31,0.0562094444444444
"129","2 Chainz",2019-04-30,0.0193111111111111
"130","2 Chainz",2019-12-31,0.0302433333333333
"131","2 Chainz",2020-03-31,0.188833333333333
"132","2 Chainz",2020-08-31,6.11111111111111e-05
"133","2 Chainz",2022-07-31,0.0633072222222222
"134","2 Chainz",2023-07-31,0.133546388888889
"135","2 Chainz",2023-10-31,0.0051775
"136","2 Unlimited",2020-05-31,0.124274444444444
"137","2050Millions",2022-05-31,0.05669
"138","20syl",2018-02-28,0.2212175
"139","20syl",2018-03-31,0.192560833333333
"140","21 Savage",2018-03-31,0.00123055555555556
"141","21 Savage",2018-12-31,0.727366388888889
"142","21 Savage",2019-02-28,3.43239055555556
"143","21 Savage",2019-03-31,1.21495805555556
"144","21 Savage",2019-04-30,0.364996388888889
"145","21 Savage",2019-07-31,0.402435555555556
"146","21 Savage",2019-10-31,0.1331075
"147","21 Savage",2019-11-30,0.137215277777778
"148","21 Savage",2019-12-31,0.0833436111111111
"149","21 Savage",2020-03-31,0.0388119444444444
"150","21 Savage",2020-04-30,1.19504972222222
"151","21 Savage",2020-07-31,0.112641388888889
"152","21 Savage",2020-08-31,0.0577225
"153","21 Savage",2020-09-30,0.854315
"154","21 Savage",2020-10-31,0.112630833333333
"155","21 Savage",2021-02-28,0.0789058333333333
"156","21 Savage",2021-12-31,0.0804911111111111
"157","21 Savage",2022-01-31,0.328482777777778
"158","21 Savage",2022-07-31,0.0538438888888889
"159","21 Savage",2023-04-30,0.108348333333333
"160","21 Savage",2023-07-31,0.0538438888888889
"161","22-20s",2018-01-31,0.0661925
"162","22-20s",2018-05-31,0.0661925
"163","228k",2018-02-28,0.0491747222222222
"164","228k",2018-05-31,0.0491747222222222
"165","22december",2022-10-31,0.0805994444444444
"166","24hrs",2019-09-30,0.0851255555555556
"167","24kGoldn",2020-04-30,0.549206666666667
"168","24kGoldn",2020-05-31,0.0810072222222222
"169","24kGoldn",2020-07-31,0.143013888888889
"170","24kGoldn",2020-11-30,0.039035
"171","24kGoldn",2021-02-28,0.0115741666666667
"172","24kGoldn",2022-01-31,0.0995183333333333
"173","24kGoldn",2022-10-31,0.210411944444444
"174","24kGoldn",2023-03-31,0.0365516666666667
"175","2CELLOS",2018-08-31,0.0613702777777778
"176","2G",2020-09-30,0.0656944444444444
"177","2KBABY",2023-07-31,0.0293333333333333
"178","2Pac",2019-10-31,0.176697777777778
"179","2Pac",2023-09-30,0.0773194444444444
"180","2Scratch",2020-05-31,0.116189166666667
"181","2Scratch",2020-07-31,0.000628055555555556
"182","2Scratch",2020-09-30,0.291848888888889
"183","2Scratch",2020-10-31,0.0809525
"184","2TH",2019-06-30,0.121435
"185","2TH",2019-07-31,0.350426111111111
"186","2TH",2019-08-31,0.126756111111111
"187","2TH",2019-09-30,0.0607175
"188","2TH",2019-10-31,1.41056194444444
"189","2TH",2019-11-30,0.665811944444444
"190","2TH",2020-01-31,0.0537780555555556
"191","2TH",2020-02-29,0.114495555555556
"192","2TH",2020-07-31,0.0607175
"193","2TH",2021-01-31,0.0607175
"194","2TH",2022-02-28,0.0428288888888889
"195","2TH",2022-05-31,0.432743888888889
"196","2TH",2022-07-31,0.092955
"197","2WEI",2018-05-31,0.04626
"198","2WEI",2018-08-31,0.04626
"199","2WEI",2022-04-30,0.175981111111111
"200","2zer",2019-06-30,0.2064975
"201","2zer",2019-07-31,0.541923333333333
"202","2zer",2019-08-31,0.260938055555556
"203","2zer",2019-09-30,0.241053611111111
"204","2zer",2019-10-31,1.01496833333333
"205","2zer",2019-11-30,0.768422222222222
"206","2zer",2019-12-31,0.0897205555555556
"207","2zer",2020-01-31,0.228127222222222
"208","2zer",2020-02-29,0.0544405555555556
"209","2zer",2020-03-31,1.21950944444444
"210","2zer",2020-04-30,0.355427222222222
"211","2zer",2020-05-31,0.0544405555555556
"212","2zer",2020-07-31,0.501860833333333
"213","2zer",2020-08-31,0.0544405555555556
"214","2zer",2020-09-30,0.0544405555555556
"215","2zer",2022-08-31,0.00181861111111111
"216","2zé",2020-02-29,0.106610833333333
"217","2zé",2020-03-31,0.0711111111111111
"218","3 Are Legend",2019-08-31,0.0916666666666667
"219","3 Dope Brothas",2018-10-31,0.00620444444444444
"220","3010",2019-02-28,0.164259722222222
"221","3010",2019-09-30,0.000333333333333333
"222","313",2020-02-29,0.0731116666666667
"223","313",2020-07-31,0.0204205555555556
"224","313",2020-09-30,0.0609294444444444
"225","313",2022-05-31,0.0561091666666667
"226","347aidan",2022-05-31,0.0500383333333333
"227","347aidan",2022-06-30,0.0500386111111111
"228","347aidan",2022-09-30,0.0725569444444444
"229","347aidan",2022-10-31,0.337333333333333
"230","347aidan",2022-11-30,0.106842222222222
"231","347aidan",2023-02-28,0.171427777777778
"232","347aidan",2023-03-31,0.199137777777778
"233","347aidan",2023-04-30,0.0382713888888889
"234","3BallMTY",2022-08-31,0.00461361111111111
"235","3LAU",2018-01-31,0.0513661111111111
"236","3LAU",2018-10-31,0.0513661111111111
"237","3LAU",2020-02-29,0.0513661111111111
"238","4 Non Blondes",2021-08-31,0.0705325
"239","4 Non Blondes",2022-06-30,0.0820925
"240","404Billy",2019-08-31,0.110238611111111
"241","404Billy",2019-11-30,0.0528438888888889
"242","404Billy",2020-03-31,0.105687777777778
"243","404Billy",2020-04-30,0.0528438888888889
"244","404Billy",2021-12-31,0.0351888888888889
"245","47ter",2019-06-30,0.435593888888889
"246","47ter",2019-07-31,0.668384444444444
"247","47ter",2019-08-31,0.312651388888889
"248","47ter",2019-09-30,0.0526813888888889
"249","47ter",2019-10-31,0.502921111111111
"250","47ter",2019-11-30,0.0717302777777778
"251","47ter",2020-01-31,0.333881111111111
"252","47ter",2020-02-29,0.309653333333333
"253","47ter",2020-07-31,0.0546127777777778
"254","47ter",2020-08-31,0.213576944444444
"255","47ter",2020-11-30,0.00484472222222222
"256","47ter",2021-01-31,0.0142580555555556
"257","4Keus",2019-05-31,0.0594
"258","4Keus",2019-09-30,0.0873961111111111
"259","4Keus",2019-10-31,0.152136666666667
"260","4Keus",2019-11-30,0.137696388888889
"261","4Keus",2019-12-31,0.188089444444444
"262","4Keus",2020-01-31,0.492001666666667
"263","4Keus",2020-02-29,0.321873611111111
"264","4Keus",2020-03-31,0.123358888888889
"265","4Keus",2020-07-31,0.128740833333333
"266","4Keus",2020-08-31,0.0669547222222222
"267","4Keus",2022-05-31,0.0585627777777778
"268","4Keus Gang",2018-11-30,0.0778333333333333
"269","4Keus Gang",2019-09-30,0.155666666666667
"270","4Keus Gang",2019-11-30,0.157733611111111
"271","4Keus Gang",2020-01-31,0.0778333333333333
"272","4th Dimension",2020-01-31,0.101592222222222
"273","5 Majeur",2022-05-31,0.163315
"274","5 Seconds of Summer",2019-05-31,1.00619888888889
"275","5 Seconds of Summer",2019-06-30,0.131243333333333
"276","5 Seconds of Summer",2019-09-30,0.0460463888888889
"277","5 Seconds of Summer",2020-03-31,0.00101388888888889
"278","5 Seconds of Summer",2020-07-31,0.000270833333333333
"279","50 Cent",2020-02-29,0.0258647222222222
"280","50 Cent",2020-08-31,0
"281","50 Cent",2020-09-30,0.0347033333333333
"282","50 Cent",2021-02-28,0.03534
"283","50 Cent",2022-07-31,0.109314444444444
"284","50 Cent",2023-01-31,0.002045
"285","50 Cent",2023-06-30,0.0537405555555556
"286","50 Cent",2023-07-31,0.111825555555556
"287","50 Cent",2023-10-31,0.640128611111111
"288","5ubaruu",2022-06-30,0.00734527777777778
"289","6 Dogs",2021-10-31,0.0477516666666667
"290","6 Dogs",2022-02-28,0.0477447222222222
"291","666",2021-07-31,0.0204402777777778
"292","6LACK",2018-08-31,0.0313922222222222
"293","6LACK",2018-11-30,0.0551225
"294","6LACK",2019-06-30,0.190603055555556
"295","6LACK",2019-07-31,0.130506388888889
"296","6LACK",2019-08-31,0.160410555555556
"297","6LACK",2020-03-31,4.7639225
"298","6LACK",2020-04-30,3.73960055555556
"299","6LACK",2020-05-31,0.254978888888889
"300","6LACK",2020-06-30,0.0637447222222222
"301","6LACK",2020-07-31,0.128174166666667
"302","6LACK",2020-08-31,0.515819166666667
"303","6LACK",2020-09-30,0.646338055555555
"304","6LACK",2020-10-31,0.500211666666667
"305","6LACK",2020-11-30,0.191234166666667
"306","6LACK",2020-12-31,0.0637447222222222
"307","6LACK",2021-10-31,0.0637447222222222
"308","6LACK",2022-04-30,0.0213605555555556
"309","6LACK",2022-05-31,0.0637447222222222
"310","6LACK",2022-06-30,6.38888888888889e-06
"311","6LACK",2022-09-30,0.0637325
"312","6LACK",2022-12-31,0.0637447222222222
"313","6LACK",2023-01-31,0.123306666666667
"314","6LACK",2023-06-30,0.55121
"315","6LACK",2023-07-31,0.0637447222222222
"316","6LACK",2023-10-31,0.0667613888888889
"317","6feet",2019-11-30,0.0425891666666667
"318","6ix9ine",2018-10-31,0.330594166666667
"319","6ix9ine",2018-11-30,0.248560277777778
"320","6ix9ine",2018-12-31,2.07298666666667
"321","6ix9ine",2019-01-31,2.06552972222222
"322","6ix9ine",2019-02-28,3.87396916666667
"323","6ix9ine",2019-03-31,0.7966725
"324","6ix9ine",2019-07-31,0.0951613888888889
"325","6ix9ine",2019-09-30,0.424390555555556
"326","6ix9ine",2019-10-31,0.599013888888889
"327","6ix9ine",2019-11-30,0.227193055555556
"328","6ix9ine",2019-12-31,0.137237777777778
"329","6ix9ine",2020-01-31,0.178387222222222
"330","6ix9ine",2020-02-29,0.121012222222222
"331","6ix9ine",2020-03-31,0.057375
"332","6ix9ine",2020-04-30,0.142584166666667
"333","6ix9ine",2020-05-31,0.172125
"334","6ix9ine",2020-07-31,0.11475
"335","6ix9ine",2020-08-31,0.0220522222222222
"336","6ix9ine",2020-09-30,0.631125
"337","6ix9ine",2020-10-31,0.366633888888889
"338","6ix9ine",2020-11-30,0.31455
"339","6ix9ine",2020-12-31,0.0608058333333333
"340","6ix9ine",2021-03-31,0.0832538888888889
"341","6ix9ine",2021-08-31,0.0377052777777778
"342","6ix9ine",2021-09-30,0.0565405555555556
"343","6ix9ine",2021-10-31,0.057375
"344","6ix9ine",2021-12-31,0.114729444444444
"345","6ix9ine",2022-01-31,0.0463475
"346","6ix9ine",2022-02-28,0.000247222222222222
"347","6ix9ine",2022-04-30,0.0395075
"348","6ix9ine",2022-06-30,0.117881111111111
"349","6ix9ine",2022-10-31,0.0618086111111111
"350","6ix9ine",2022-12-31,0.117717777777778
"351","6ix9ine",2023-01-31,0.117862777777778
"352","6ix9ine",2023-04-30,0.000426388888888889
"353","6ix9ine",2023-06-30,0.0604980555555556
"354","6ix9ine",2023-07-31,0.00218138888888889
"355","6o",2019-08-31,0.0717305555555556
"356","6o",2019-09-30,0.0358652777777778
"357","6rano",2021-08-31,0.8715375
"358","6rano",2021-09-30,0.288570833333333
"359","6th Borough Project",2022-06-30,0.145959166666667
"360","7 Jaws",2019-06-30,0.0533986111111111
"361","7 Jaws",2019-10-31,0.213594444444444
"362","7 Jaws",2019-11-30,0.106797222222222
"363","7 Jaws",2020-01-31,0.101011944444444
"364","7 Jaws",2020-02-29,0.160686388888889
"365","7 Jaws",2020-03-31,0.862755555555555
"366","7 Jaws",2020-04-30,0.323590277777778
"367","7 Jaws",2020-07-31,0.165822777777778
"368","7 Jaws",2020-08-31,0.160686666666667
"369","7 Jaws",2021-02-28,0.187889166666667
"370","7 Jaws",2021-03-31,0.0806902777777778
"371","7 Jaws",2021-04-30,0.0626297222222222
"372","7 Jaws",2022-04-30,0.00854388888888889
"373","704chop",2023-06-30,0.0312883333333333
"374","777villain",2022-08-31,0.0703327777777778
"375","777villain",2022-09-30,0.10736
"376","777villain",2022-10-31,0.277612222222222
"377","777villain",2022-11-30,0.107386111111111
