"","ts","platform","ms_played","conn_country","master_metadata_track_name","master_metadata_album_artist_name","master_metadata_album_album_name","spotify_track_uri","reason_start","reason_end","shuffle","offline","genres","day"
"118419",2022-09-05 07:06:40,"Home Speaker",212881,"FR","Resonance","Home","Odyssey","spotify:track:65r94rVdiMwqXyQFEr3tqT","trackdone","trackdone","True","False","vaporwave","lundi"
"118440",2022-09-05 08:17:38,"Home Speaker",251000,"FR","Decay","Home","Odyssey","spotify:track:5hSEdbmADd7DvnLvxyFbVk","trackdone","trackdone","True","False","vaporwave","lundi"
"118612",2022-09-06 15:39:54,"Home Speaker",250968,"FR","Decay","Home","Odyssey","spotify:track:5hSEdbmADd7DvnLvxyFbVk","trackdone","trackdone","True","False","vaporwave","mardi"
"118702",2022-09-07 14:13:22,"Home Speaker",250968,"FR","Decay","Home","Odyssey","spotify:track:5hSEdbmADd7DvnLvxyFbVk","trackdone","trackdone","True","False","vaporwave","mercredi"
"118857",2022-09-09 12:29:26,"Home Speaker",212841,"FR","Resonance","Home","Odyssey","spotify:track:65r94rVdiMwqXyQFEr3tqT","trackdone","trackdone","True","False","vaporwave","vendredi"
"119442",2022-09-19 10:27:11,"Home Speaker",250968,"FR","Decay","Home","Odyssey","spotify:track:5hSEdbmADd7DvnLvxyFbVk","trackdone","trackdone","True","False","vaporwave","lundi"
"119705",2022-09-22 03:52:20,"Smartphone",251000,"FR","Decay","Home","Odyssey","spotify:track:5hSEdbmADd7DvnLvxyFbVk","trackdone","trackdone","True","False","vaporwave","jeudi"
"119710",2022-09-22 04:11:24,"Smartphone",212881,"FR","Resonance","Home","Odyssey","spotify:track:65r94rVdiMwqXyQFEr3tqT","trackdone","trackdone","True","False","vaporwave","jeudi"
"123067",2022-11-30 22:39:50,"Smartphone",250984,"FR","Decay","Home","Odyssey","spotify:track:09hBttNDXFz0mBaHqFCpOd","trackdone","trackdone","True","False","vaporwave","mercredi"
"124167",2022-12-18 12:30:53,"Smartphone",250984,"FR","Decay","Home","Odyssey","spotify:track:09hBttNDXFz0mBaHqFCpOd","trackdone","trackdone","True","False","vaporwave","dimanche"
"124475",2023-01-03 08:00:46,"Smartphone",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","True","True","vaporwave","mardi"
"125416",2023-01-18 09:01:58,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","True","False","vaporwave","mercredi"
"131047",2023-05-03 08:34:23,"Smartphone",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","True","False","vaporwave","mercredi"
"132467",2023-06-23 23:15:10,"not_applicable",48574,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","endplay","True","False","vaporwave","vendredi"
